,qtd_D,qtd_G,qtd_dia,n_L1,n_L2,n_L3,n_Geradores,custo_dia,renda_dia,data
0,0,0,0,3,2,1,33,1125.0,1454,2017-06-01
1,0,0,0,3,2,1,33,1125.0,1454,2017-06-02
2,0,0,0,3,2,1,33,1125.0,1454,2017-06-03
3,0,0,0,3,2,1,33,0.0,1875,2017-06-04
4,0,0,0,3,2,1,33,1125.0,1454,2017-06-05
5,1,0,1,3,2,1,33,1125.0,1454,2017-06-06
6,1,0,1,3,2,1,33,1125.0,1854,2017-06-07
7,1,0,1,3,2,1,33,1125.0,1854,2017-06-08
8,1,0,0,3,2,1,33,1125.0,1854,2017-06-09
9,1,1,1,3,2,1,33,1125.0,1854,2017-06-10
10,1,1,0,3,2,1,33,0.0,1780,2017-06-11
11,2,0,1,3,2,1,33,1125.0,1854,2017-06-12
12,0,0,0,3,2,1,33,1125.0,1854,2017-06-13
13,0,0,0,3,2,1,33,1125.0,1854,2017-06-14
14,0,0,0,3,2,1,33,1125.0,1854,2017-06-15
15,1,0,1,3,2,1,33,1125.0,1854,2017-06-16
16,1,1,1,3,2,1,33,1125.0,1854,2017-06-17
17,1,1,0,3,2,1,33,0.0,1918,2017-06-18
18,3,0,2,3,2,1,33,1125.0,1854,2017-06-19
19,0,0,0,3,2,1,33,1125.0,1854,2017-06-20
20,0,0,0,3,2,1,33,1125.0,1854,2017-06-21
21,0,0,0,3,2,1,33,1125.0,1854,2017-06-22
22,0,0,0,3,2,1,33,1125.0,1854,2017-06-23
23,0,2,2,3,2,1,33,1125.0,1408,2017-06-24
24,0,2,0,3,2,1,33,0.0,1730,2017-06-25
25,3,0,1,3,2,1,33,1125.0,1408,2017-06-26
26,1,0,0,3,2,1,33,1125.0,1408,2017-06-27
27,3,0,3,3,2,1,33,1125.0,1408,2017-06-28
28,2,0,1,3,2,1,33,1125.0,1408,2017-06-29
29,2,0,0,3,2,1,33,1125.0,1408,2017-06-30
30,2,0,0,3,2,1,33,1125.0,1408,2017-07-01
31,2,0,0,3,2,1,33,0.0,1829,2017-07-02
32,1,0,0,3,2,1,33,1125.0,1386,2017-07-03
33,0,0,0,3,2,1,33,1125.0,1692,2017-07-04
34,0,0,0,3,2,1,34,1125.0,1692,2017-07-05
35,1,0,1,2,3,1,34,4175.0,1692,2017-07-06
36,0,0,0,2,3,1,34,1175.0,1692,2017-07-07
37,0,0,0,2,3,1,34,1175.0,1692,2017-07-08
38,0,0,0,2,3,1,34,0.0,1688,2017-07-09
39,2,0,2,2,3,1,34,1175.0,1565,2017-07-10
40,3,0,2,1,3,1,34,1025.0,1606,2017-07-11
41,3,0,3,1,3,1,34,1025.0,1606,2017-07-12
42,0,0,0,1,3,1,34,1025.0,1606,2017-07-13
43,1,0,1,1,3,1,34,1025.0,1606,2017-07-14
44,1,0,0,1,3,1,35,1025.0,1798,2017-07-15
45,1,0,0,1,3,1,35,0.0,1608,2017-07-16
46,1,0,0,1,3,1,35,1025.0,1744,2017-07-17
47,0,0,0,1,3,1,35,1025.0,1744,2017-07-18
48,2,0,2,1,3,1,35,1025.0,1744,2017-07-19
49,2,0,1,1,3,1,35,1025.0,1950,2017-07-20
50,1,0,0,2,3,1,35,1175.0,1950,2017-07-21
51,1,1,1,2,3,1,35,1175.0,1950,2017-07-22
52,1,1,0,2,3,1,35,0.0,1800,2017-07-23
53,2,0,1,2,3,1,35,1175.0,1863,2017-07-24
54,2,0,1,2,3,1,35,1175.0,1863,2017-07-25
55,3,0,2,2,3,1,35,1175.0,1504,2017-07-26
56,2,0,1,2,3,1,35,1175.0,1504,2017-07-27
57,2,0,1,2,3,1,35,1175.0,1504,2017-07-28
58,2,1,1,2,3,1,35,1175.0,1504,2017-07-29
59,2,1,0,2,3,1,35,0.0,1633,2017-07-30
60,4,0,2,2,3,1,35,1175.0,1504,2017-07-31
61,3,0,0,2,3,1,35,1175.0,1659,2017-08-01
62,4,0,2,2,3,1,35,1175.0,1659,2017-08-02
63,6,0,4,2,3,1,35,1175.0,1659,2017-08-03
64,4,0,0,2,3,1,35,1175.0,1659,2017-08-04
65,4,0,0,2,3,1,35,1175.0,1882,2017-08-05
66,4,0,0,2,3,1,35,0.0,1913,2017-08-06
67,5,0,2,2,3,1,35,1175.0,1882,2017-08-07
68,6,0,3,2,3,1,35,1175.0,1882,2017-08-08
69,6,2,3,2,3,1,35,1175.0,1882,2017-08-09
70,6,0,1,2,3,1,35,1175.0,1882,2017-08-10
71,4,0,0,2,3,1,35,1175.0,1882,2017-08-11
72,4,1,1,2,3,1,35,1175.0,1882,2017-08-12
73,4,1,0,2,3,1,35,0.0,1864,2017-08-13
74,4,0,1,2,3,1,35,1175.0,1882,2017-08-14
75,3,0,2,2,2,2,35,8250.0,1882,2017-08-15
76,2,0,0,2,2,2,35,1250.0,1882,2017-08-16
77,2,0,1,2,2,2,35,1250.0,1535,2017-08-17
78,1,0,1,3,2,2,35,1400.0,1535,2017-08-18
79,1,0,0,3,2,2,35,1400.0,1535,2017-08-19
80,1,0,0,3,2,2,35,0.0,1841,2017-08-20
81,1,0,1,3,2,2,35,1400.0,1535,2017-08-21
82,0,0,0,3,2,2,35,1400.0,1535,2017-08-22
83,3,0,3,3,2,2,35,1400.0,1535,2017-08-23
84,2,0,2,3,2,2,35,1400.0,1535,2017-08-24
85,2,0,2,3,2,1,35,1125.0,1535,2017-08-25
86,2,0,0,3,2,1,35,1125.0,1535,2017-08-26
87,2,0,0,3,2,1,35,0.0,1924,2017-08-27
88,2,0,0,3,2,1,35,1125.0,1535,2017-08-28
89,4,0,2,3,2,1,35,1125.0,1535,2017-08-29
90,2,0,1,3,2,1,35,1125.0,1535,2017-08-30
91,2,0,1,3,2,1,35,1125.0,2044,2017-08-31
92,3,0,1,3,2,1,35,1125.0,2044,2017-09-01
93,3,0,0,3,2,1,35,1125.0,2044,2017-09-02
94,3,0,0,3,2,1,35,0.0,1523,2017-09-03
95,4,0,1,3,2,1,35,1125.0,2044,2017-09-04
96,2,0,1,3,2,1,35,1125.0,2044,2017-09-05
97,2,0,0,3,2,1,35,1125.0,2044,2017-09-06
98,2,0,1,3,2,1,35,1125.0,2067,2017-09-07
99,1,0,0,3,2,1,35,1125.0,2067,2017-09-08
100,1,1,1,3,2,1,35,1125.0,2067,2017-09-09
101,1,1,0,3,2,1,35,0.0,1566,2017-09-10
102,4,0,2,3,2,1,35,1125.0,2067,2017-09-11
103,6,1,3,3,2,1,35,1125.0,2067,2017-09-12
104,4,0,0,3,2,1,35,1125.0,2067,2017-09-13
105,2,0,0,3,2,1,36,1125.0,2067,2017-09-14
106,1,0,1,2,3,1,36,4175.0,2067,2017-09-15
107,1,2,2,2,3,1,36,1175.0,2067,2017-09-16
108,1,2,0,2,3,1,36,0.0,1719,2017-09-17
109,5,0,2,2,3,1,36,1175.0,2067,2017-09-18
110,3,0,1,2,2,1,36,975.0,2067,2017-09-19
111,3,0,0,2,2,1,36,975.0,1586,2017-09-20
112,2,0,1,2,2,1,36,975.0,1586,2017-09-21
113,2,0,1,2,2,1,36,975.0,1586,2017-09-22
114,2,1,1,2,2,1,36,975.0,1586,2017-09-23
115,2,1,0,2,2,1,40,0.0,2001,2017-09-24
116,6,1,4,2,2,1,40,975.0,1586,2017-09-25
117,5,0,2,2,2,1,40,975.0,2080,2017-09-26
118,3,0,0,2,2,1,40,975.0,2080,2017-09-27
119,4,0,2,2,2,1,40,975.0,2080,2017-09-28
120,5,0,3,3,2,1,40,1125.0,2080,2017-09-29
121,5,1,1,3,2,1,40,1125.0,2080,2017-09-30
122,5,1,0,3,2,1,40,0.0,2370,2017-10-01
123,6,0,1,3,2,1,40,1125.0,2080,2017-10-02
124,6,1,1,3,2,1,40,1125.0,2080,2017-10-03
125,5,0,1,3,2,1,40,1125.0,2015,2017-10-04
126,3,0,2,3,2,1,40,1125.0,2015,2017-10-05
127,2,0,1,3,2,1,40,1125.0,2015,2017-10-06
128,2,1,1,3,2,1,40,1125.0,2015,2017-10-07
129,2,1,0,3,2,1,40,0.0,2321,2017-10-08
130,3,0,2,3,2,1,40,1125.0,2015,2017-10-09
131,3,0,2,3,2,1,40,1125.0,2015,2017-10-10
