,qtd_D,qtd_G,qtd_dia,n_L1,n_L2,n_L3,n_Geradores,custo_dia,renda_dia,des_dia_1,des_dia_2,des_dia_3,data
0,1,0,1,3,2,1,33,1125.0,1842,0,0,0,2017-06-01
1,1,0,1,3,2,1,33,1125.0,1842,1,0,0,2017-06-02
2,1,1,1,3,2,1,33,1125.0,1601,0,0,0,2017-06-03
3,1,1,0,3,2,1,33,0.0,1842,0,0,0,2017-06-04
4,2,0,1,3,2,1,33,1125.0,1601,1,0,0,2017-06-05
5,1,0,1,3,2,1,33,1125.0,1601,2,0,0,2017-06-06
6,2,0,2,3,2,1,33,1125.0,1601,1,0,0,2017-06-07
7,2,0,1,3,2,1,33,1125.0,1601,1,0,0,2017-06-08
8,3,0,3,3,2,1,33,1125.0,1601,2,0,0,2017-06-09
9,3,3,3,3,2,1,33,1125.0,1601,0,0,0,2017-06-10
10,3,3,0,3,2,1,33,0.0,1658,0,0,0,2017-06-11
11,5,0,1,3,2,1,33,1125.0,1601,2,0,0,2017-06-12
12,3,0,2,3,2,1,33,1125.0,1601,3,1,0,2017-06-13
13,1,0,1,3,2,1,33,1125.0,1601,2,1,0,2017-06-14
14,0,0,0,3,2,1,33,1125.0,1601,1,0,0,2017-06-15
15,0,0,0,3,2,1,33,1125.0,1914,0,0,0,2017-06-16
16,0,1,1,3,2,1,33,1125.0,1914,0,0,0,2017-06-17
17,0,1,0,3,2,1,33,0.0,1495,0,0,0,2017-06-18
18,2,0,1,3,2,1,33,1125.0,1914,0,0,0,2017-06-19
19,0,0,0,3,2,1,33,1125.0,1914,2,0,0,2017-06-20
20,0,0,0,3,2,1,33,1125.0,1914,0,0,0,2017-06-21
21,0,0,0,3,2,1,33,1125.0,1914,0,0,0,2017-06-22
22,2,0,2,3,2,1,33,1125.0,1914,0,0,0,2017-06-23
23,2,3,3,3,2,1,33,1125.0,1914,0,0,0,2017-06-24
24,2,3,0,3,2,1,33,0.0,1874,0,0,0,2017-06-25
25,5,0,1,3,2,1,33,1125.0,1914,1,0,0,2017-06-26
26,1,0,0,3,2,1,33,1125.0,1914,3,1,0,2017-06-27
27,1,0,1,3,2,1,33,1125.0,1914,0,1,0,2017-06-28
28,3,0,2,3,2,1,33,1125.0,1914,0,0,0,2017-06-29
29,0,0,0,3,2,1,33,1125.0,1914,3,0,0,2017-06-30
30,0,0,0,3,2,1,33,1125.0,1914,0,0,0,2017-07-01
31,0,0,0,3,2,1,33,0.0,1469,0,0,0,2017-07-02
32,1,0,1,3,2,1,33,1125.0,1914,0,0,0,2017-07-03
33,1,0,1,3,2,1,33,1125.0,1914,1,0,0,2017-07-04
34,1,0,1,3,2,1,34,1125.0,1930,1,0,0,2017-07-05
35,0,0,0,2,3,1,34,4175.0,1698,1,0,0,2017-07-06
36,0,0,0,2,3,1,34,1175.0,1505,0,0,0,2017-07-07
37,0,1,1,2,3,1,34,1175.0,1505,0,0,0,2017-07-08
38,0,1,0,2,3,1,34,0.0,1627,0,0,0,2017-07-09
39,2,0,1,2,3,1,34,1175.0,1505,0,0,0,2017-07-10
40,1,0,1,1,3,1,34,1025.0,1505,1,0,0,2017-07-11
41,1,0,1,1,3,1,34,1025.0,1505,1,0,0,2017-07-12
42,0,0,0,1,3,1,34,1025.0,1505,1,0,0,2017-07-13
43,2,0,2,1,3,1,34,1025.0,1505,0,0,0,2017-07-14
44,2,4,4,1,3,1,35,1025.0,1505,0,0,0,2017-07-15
45,2,4,0,1,3,1,35,0.0,1487,0,0,0,2017-07-16
46,5,5,5,1,3,1,35,1025.0,1505,1,0,0,2017-07-17
47,5,4,2,1,3,1,35,1025.0,1505,1,2,0,2017-07-18
48,5,3,0,1,3,1,35,1025.0,1505,1,0,0,2017-07-19
49,5,1,1,1,3,1,35,1025.0,2050,1,2,0,2017-07-20
50,5,0,2,2,3,1,35,1175.0,2050,1,1,1,2017-07-21
51,5,1,1,2,3,1,35,1175.0,2050,0,0,0,2017-07-22
52,5,1,0,2,3,1,35,0.0,2046,0,0,0,2017-07-23
53,4,0,2,2,3,1,35,1175.0,2050,2,2,0,2017-07-24
54,2,0,0,2,3,1,35,1175.0,2050,1,1,0,2017-07-25
55,2,0,1,2,3,1,35,1175.0,2050,0,1,0,2017-07-26
56,1,0,0,2,3,1,35,1175.0,2050,1,0,0,2017-07-27
57,1,0,1,2,3,1,35,1175.0,2050,1,0,0,2017-07-28
58,1,1,1,2,3,1,35,1175.0,2050,0,0,0,2017-07-29
59,1,1,0,2,3,1,35,0.0,1890,0,0,0,2017-07-30
60,3,0,1,2,3,1,35,1175.0,2050,0,0,0,2017-07-31
61,2,0,0,2,3,1,35,1175.0,2050,0,1,0,2017-08-01
62,2,0,1,2,3,1,35,1175.0,2050,1,0,0,2017-08-02
63,0,0,0,2,3,1,35,1175.0,2050,2,0,0,2017-08-03
64,1,0,1,2,3,1,35,1175.0,2050,0,0,0,2017-08-04
65,1,1,1,2,3,1,35,1175.0,2050,0,0,0,2017-08-05
66,1,1,0,2,3,1,35,0.0,1698,0,0,0,2017-08-06
67,3,0,1,2,3,1,35,1175.0,2050,0,0,0,2017-08-07
68,0,0,0,2,3,1,35,1175.0,2050,2,1,0,2017-08-08
69,0,0,0,2,3,1,35,1175.0,2050,0,0,0,2017-08-09
70,0,0,0,2,3,1,35,1175.0,2050,0,0,0,2017-08-10
71,0,0,0,2,3,1,35,1175.0,2050,0,0,0,2017-08-11
72,0,1,1,2,3,1,35,1175.0,2050,0,0,0,2017-08-12
73,0,1,0,2,3,1,35,0.0,1971,0,0,0,2017-08-13
74,2,0,1,2,3,1,35,1175.0,2050,0,0,0,2017-08-14
75,2,0,1,2,2,2,35,8250.0,2050,1,0,0,2017-08-15
76,0,0,0,2,2,2,35,1250.0,2050,2,0,0,2017-08-16
77,0,0,0,2,2,2,35,1250.0,2050,0,0,0,2017-08-17
78,0,0,0,3,2,2,35,1400.0,2050,0,0,0,2017-08-18
79,0,3,3,3,2,2,35,1400.0,2050,0,0,0,2017-08-19
80,0,3,0,3,2,2,35,0.0,1960,0,0,0,2017-08-20
81,3,0,0,3,2,2,35,1400.0,2050,0,0,0,2017-08-21
82,3,0,1,3,2,2,35,1400.0,2050,1,0,0,2017-08-22
83,2,0,1,3,2,2,35,1400.0,2050,2,0,0,2017-08-23
84,1,0,0,3,2,2,35,1400.0,2050,1,0,0,2017-08-24
85,3,0,3,3,2,1,35,1125.0,2050,1,0,0,2017-08-25
86,3,1,1,3,2,1,35,1125.0,2050,0,0,0,2017-08-26
87,3,1,0,3,2,1,35,0.0,2066,0,0,0,2017-08-27
88,5,0,4,3,2,1,35,1125.0,2050,3,0,0,2017-08-28
89,6,0,3,3,2,1,35,1125.0,2050,2,0,0,2017-08-29
90,6,0,1,3,2,1,35,1125.0,2050,1,0,0,2017-08-30
91,5,0,1,3,2,1,35,1125.0,1708,2,0,0,2017-08-31
92,4,0,1,3,2,1,35,1125.0,1708,1,1,0,2017-09-01
93,4,1,1,3,2,1,35,1125.0,1584,0,0,0,2017-09-02
94,4,1,0,3,2,1,35,0.0,1871,0,0,0,2017-09-03
95,4,0,2,3,2,1,35,1125.0,1584,2,1,0,2017-09-04
