,qtd_D,qtd_G,qtd_dia,n_L1,n_L2,n_L3,n_Geradores,custo_dia,renda_dia,des_dia_1,des_dia_2,des_dia_3,data
0,4,0,4,3,2,1,33,1125.0,1444,0,0,0,2017-06-01
1,5,0,1,3,2,1,33,1125.0,1444,0,0,0,2017-06-02
2,5,1,1,3,2,1,33,1125.0,1444,0,0,0,2017-06-03
3,5,1,0,3,2,1,33,0.0,1757,0,0,0,2017-06-04
4,3,0,0,3,2,1,33,1125.0,1439,2,1,0,2017-06-05
5,1,0,1,3,2,1,33,1125.0,1439,2,1,0,2017-06-06
6,1,0,1,3,2,1,33,1125.0,1448,1,0,0,2017-06-07
7,2,0,1,3,2,1,33,1125.0,1448,0,0,0,2017-06-08
8,3,0,1,3,2,1,33,1125.0,1448,0,0,0,2017-06-09
9,3,2,2,3,2,1,33,1125.0,1508,0,0,0,2017-06-10
10,3,2,0,3,2,1,33,0.0,1393,0,0,0,2017-06-11
11,2,0,0,3,2,1,33,1125.0,1508,3,0,0,2017-06-12
12,1,0,0,3,2,1,33,1125.0,1508,1,0,0,2017-06-13
13,2,0,2,3,2,1,33,1125.0,1508,1,0,0,2017-06-14
14,3,0,1,3,2,1,33,1125.0,1508,0,0,0,2017-06-15
15,4,0,3,3,2,1,33,1125.0,1508,2,0,0,2017-06-16
16,4,0,0,3,2,1,33,1125.0,1508,0,0,0,2017-06-17
17,4,0,0,3,2,1,33,0.0,1534,0,0,0,2017-06-18
18,3,0,0,3,2,1,33,1125.0,1508,1,0,0,2017-06-19
19,2,0,0,3,2,1,33,1125.0,1508,1,0,0,2017-06-20
20,4,0,2,3,2,1,33,1125.0,1508,0,0,0,2017-06-21
21,2,0,0,3,2,1,33,1125.0,1557,1,1,0,2017-06-22
22,3,0,2,3,2,1,33,1125.0,1557,1,0,0,2017-06-23
23,3,1,1,3,2,1,33,1125.0,1557,0,0,0,2017-06-24
24,3,1,0,3,2,1,33,0.0,1455,0,0,0,2017-06-25
25,2,0,0,3,2,1,33,1125.0,1583,2,0,0,2017-06-26
26,0,0,0,3,2,1,33,1125.0,1583,2,0,0,2017-06-27
27,1,0,1,3,2,1,33,1125.0,1583,0,0,0,2017-06-28
28,1,0,1,3,2,1,33,1125.0,1583,1,0,0,2017-06-29
29,2,0,1,3,2,1,33,1125.0,1583,0,0,0,2017-06-30
30,2,0,0,3,2,1,33,1125.0,1583,0,0,0,2017-07-01
31,2,0,0,3,2,1,33,0.0,1447,0,0,0,2017-07-02
32,2,0,1,3,2,1,33,1125.0,1583,1,0,0,2017-07-03
33,3,0,1,3,2,1,33,1125.0,1583,0,0,0,2017-07-04
34,4,0,2,3,2,1,34,1125.0,1673,1,0,0,2017-07-05
35,2,0,1,2,3,1,34,4175.0,2033,2,1,0,2017-07-06
36,3,0,2,2,3,1,34,1175.0,2033,1,0,0,2017-07-07
37,3,1,1,2,3,1,34,1175.0,1436,0,0,0,2017-07-08
38,3,1,0,2,3,1,34,0.0,1762,0,0,0,2017-07-09
39,4,0,1,2,3,1,34,1175.0,1436,1,0,0,2017-07-10
40,4,0,2,1,3,1,34,1025.0,1436,0,1,0,2017-07-11
41,2,0,0,1,3,1,34,1025.0,1436,1,1,0,2017-07-12
42,0,0,0,1,3,1,34,1025.0,1726,0,2,0,2017-07-13
43,1,0,1,1,3,1,34,1025.0,1726,0,0,0,2017-07-14
44,1,1,1,1,3,1,35,1025.0,1726,0,0,0,2017-07-15
45,1,1,0,1,3,1,35,0.0,1863,0,0,0,2017-07-16
46,1,0,0,1,3,1,35,1025.0,1726,1,0,0,2017-07-17
47,4,0,3,1,3,1,35,1025.0,1620,0,0,0,2017-07-18
48,3,0,0,1,3,1,35,1025.0,1620,0,1,0,2017-07-19
49,4,0,2,1,3,1,35,1025.0,1620,1,0,0,2017-07-20
50,3,0,0,2,3,1,35,1175.0,1620,0,1,0,2017-07-21
51,3,1,1,2,3,1,35,1175.0,1620,0,0,0,2017-07-22
52,3,1,0,2,3,1,35,0.0,2027,0,0,0,2017-07-23
53,4,0,1,2,3,1,35,1175.0,1666,1,0,0,2017-07-24
54,2,0,1,2,3,1,35,1175.0,1666,2,1,0,2017-07-25
55,1,0,0,2,3,1,35,1175.0,1666,1,0,0,2017-07-26
56,2,0,1,2,3,1,35,1175.0,1666,0,0,0,2017-07-27
57,2,0,0,2,3,1,35,1175.0,1666,0,0,0,2017-07-28
58,2,0,0,2,3,1,35,1175.0,1666,0,0,0,2017-07-29
59,2,0,0,2,3,1,35,0.0,1883,0,0,0,2017-07-30
60,1,0,0,2,3,1,35,1175.0,1666,1,0,0,2017-07-31
61,1,0,0,2,3,1,35,1175.0,1666,0,0,0,2017-08-01
62,1,0,1,2,3,1,35,1175.0,1666,0,1,0,2017-08-02
63,2,0,1,2,3,1,35,1175.0,1666,0,0,0,2017-08-03
64,0,0,0,2,3,1,35,1175.0,1666,2,0,0,2017-08-04
65,0,1,1,2,3,1,35,1175.0,1666,0,0,0,2017-08-05
66,0,1,0,2,3,1,35,0.0,1645,0,0,0,2017-08-06
67,2,0,1,2,3,1,35,1175.0,1666,0,0,0,2017-08-07
68,5,0,4,2,3,1,35,1175.0,1666,1,0,0,2017-08-08
69,4,0,1,2,3,1,35,1175.0,1666,1,1,0,2017-08-09
70,3,0,0,2,3,1,35,1175.0,1666,0,1,0,2017-08-10
71,1,0,0,2,3,1,35,1175.0,1666,2,0,0,2017-08-11
72,1,2,2,2,3,1,35,1175.0,1666,0,0,0,2017-08-12
73,1,2,0,2,3,1,35,0.0,1882,0,0,0,2017-08-13
74,3,0,0,2,3,1,35,1175.0,1666,0,0,0,2017-08-14
75,4,0,1,2,2,2,35,8250.0,1666,0,0,0,2017-08-15
76,4,0,1,2,2,2,35,1250.0,1666,1,0,0,2017-08-16
77,3,0,1,2,2,2,35,1250.0,1666,2,0,0,2017-08-17
78,4,0,1,3,2,2,35,1400.0,1595,0,0,0,2017-08-18
79,4,3,3,3,2,2,35,1400.0,1595,0,0,0,2017-08-19
80,4,3,0,3,2,2,35,0.0,2017,0,0,0,2017-08-20
81,6,1,2,3,2,2,35,1400.0,1595,2,0,0,2017-08-21
82,5,0,3,3,2,2,35,1400.0,1595,2,2,1,2017-08-22
83,4,0,3,3,2,2,35,1400.0,1595,3,1,0,2017-08-23
84,5,0,3,3,2,2,35,1400.0,1595,2,0,0,2017-08-24
85,3,0,1,3,2,1,35,1125.0,1595,1,2,0,2017-08-25
86,3,2,2,3,2,1,35,1125.0,1595,0,0,0,2017-08-26
87,3,2,0,3,2,1,35,0.0,1690,0,0,0,2017-08-27
88,4,0,1,3,2,1,35,1125.0,1595,2,0,0,2017-08-28
89,3,0,0,3,2,1,35,1125.0,1595,1,0,0,2017-08-29
90,2,0,1,3,2,1,35,1125.0,1595,1,1,0,2017-08-30
91,1,0,1,3,2,1,35,1125.0,1595,2,0,0,2017-08-31
92,4,0,3,3,2,1,35,1125.0,1595,0,0,0,2017-09-01
93,4,2,2,3,2,1,35,1125.0,1595,0,0,0,2017-09-02
94,4,2,0,3,2,1,35,0.0,1588,0,0,0,2017-09-03
95,6,0,3,3,2,1,35,1125.0,1595,2,1,0,2017-09-04
96,4,0,0,3,2,1,35,1125.0,1595,0,1,1,2017-09-05
97,5,0,2,3,2,1,35,1125.0,1595,1,0,0,2017-09-06
98,5,0,1,3,2,1,35,1125.0,1595,1,0,0,2017-09-07
99,4,0,2,3,2,1,35,1125.0,1595,3,0,0,2017-09-08
100,4,1,1,3,2,1,35,1125.0,2008,0,0,0,2017-09-09
101,4,1,0,3,2,1,35,0.0,1688,0,0,0,2017-09-10
102,4,0,2,3,2,1,35,1125.0,1663,2,1,0,2017-09-11
103,2,0,0,3,2,1,35,1125.0,1663,2,0,0,2017-09-12
104,0,0,0,3,2,1,35,1125.0,1663,1,1,0,2017-09-13
105,1,0,1,3,2,1,36,1125.0,1663,0,0,0,2017-09-14
106,0,0,0,2,3,1,36,4175.0,1663,1,0,0,2017-09-15
107,0,1,1,2,3,1,36,1175.0,1663,0,0,0,2017-09-16
108,0,1,0,2,3,1,36,0.0,1829,0,0,0,2017-09-17
109,2,0,1,2,3,1,36,1175.0,1663,0,0,0,2017-09-18
110,0,0,0,2,2,1,36,975.0,1663,2,0,0,2017-09-19
111,0,0,0,2,2,1,36,975.0,1663,0,0,0,2017-09-20
112,1,0,1,2,2,1,36,975.0,1663,0,0,0,2017-09-21
113,1,0,1,2,2,1,36,975.0,1663,1,0,0,2017-09-22
114,1,3,3,2,2,1,36,975.0,1663,0,0,0,2017-09-23
115,1,3,0,2,2,1,40,0.0,2254,0,0,0,2017-09-24
116,5,0,1,2,2,1,40,975.0,2023,0,0,0,2017-09-25
117,5,0,2,2,2,1,40,975.0,2023,2,0,0,2017-09-26
118,4,0,0,2,2,1,40,975.0,2023,1,0,0,2017-09-27
119,4,0,2,2,2,1,40,975.0,1891,1,1,0,2017-09-28
120,4,0,2,3,2,1,40,1125.0,1891,2,0,0,2017-09-29
121,4,0,0,3,2,1,40,1125.0,1891,0,0,0,2017-09-30
122,4,0,0,3,2,1,40,0.0,1724,0,0,0,2017-10-01
